index,层数,侠客ID,LV,skill,SkillLv,攻击加成,防御加成,生命加成,元宝奖励,金钱奖励,道具包,卡牌包,江湖阅历,剑系特效,掌系特效,内系特效,暗系特效,棍系特效,下一层ID,单层失败卡牌包,单层失败元宝奖励,单层失败金钱奖励,单层失败道具包,单层失败江湖阅历
612,32,60401,96,50401,3,45310,38155,134676,0,1000,0,0,50,100,120,100,80,100,33,0,0,100,0,5
613,32,60402,96,50402,3,47300,30878,161072,0,1000,0,0,50,120,100,80,100,100,33,0,0,100,0,5
614,32,60403,96,50403,3,56383,29844,120634,0,1000,0,0,50,100,80,100,100,120,33,0,0,100,0,5
615,32,60404,96,50404,3,52311,31163,134606,0,1000,0,0,50,100,100,120,100,80,33,0,0,100,0,5
616,32,60405,96,50405,3,44297,32131,171373,0,1000,0,0,50,120,100,80,100,100,33,0,0,100,0,5
617,32,60406,96,50406,3,44252,37904,141097,0,1000,0,0,50,80,100,100,120,100,33,0,0,100,0,5
618,32,60407,96,50407,3,45299,32799,161350,0,1000,0,0,50,100,120,100,80,100,33,0,0,100,0,5
619,32,60408,96,50408,3,54305,26911,145777,0,1000,0,0,50,100,120,100,80,100,33,0,0,100,0,5
620,32,60409,96,50409,3,44335,36157,149431,0,1000,0,0,50,100,80,100,100,120,33,0,0,100,0,5
621,32,60410,96,50410,3,45299,25119,199769,0,1000,0,0,50,80,100,100,120,100,33,0,0,100,0,5
622,32,60411,96,50411,3,46910,35886,136225,0,1000,0,0,50,120,100,80,100,100,33,0,0,100,0,5
623,33,60301,99,50301,3,32290,14494,64588,0,1000,0,0,50,100,100,120,100,80,34,0,0,100,0,5
624,33,60302,99,50302,3,31598,12425,78375,0,1000,0,0,50,100,80,100,100,120,34,0,0,100,0,5
625,33,60303,99,50303,3,21582,20026,88703,0,1000,0,0,50,100,100,120,100,80,34,0,0,100,0,5
626,33,60304,99,50304,3,24315,13463,109621,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
627,33,60305,99,50305,3,21917,23993,68904,0,1000,0,0,50,120,100,80,100,100,34,0,0,100,0,5
628,33,60306,99,50306,3,25192,19687,75789,0,1000,0,0,50,80,100,100,120,100,34,0,0,100,0,5
629,33,60307,99,50307,3,24000,21756,69638,0,1000,0,0,50,120,100,80,100,100,34,0,0,100,0,5
630,33,60308,99,50308,3,32462,15004,61180,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
631,33,60309,99,50309,3,21222,25702,65496,0,1000,0,0,50,100,100,120,100,80,34,0,0,100,0,5
632,33,60310,99,50310,3,25734,16392,89629,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
633,33,60401,99,50401,3,46795,39452,138821,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
634,33,60402,99,50402,3,48857,31881,166327,0,1000,0,0,50,120,100,80,100,100,34,0,0,100,0,5
635,33,60403,99,50403,3,58230,30812,124614,0,1000,0,0,50,100,80,100,100,120,34,0,0,100,0,5
636,33,60404,99,50404,3,54047,32210,138752,0,1000,0,0,50,100,100,120,100,80,34,0,0,100,0,5
637,33,60405,99,50405,3,45746,33213,176830,0,1000,0,0,50,120,100,80,100,100,34,0,0,100,0,5
638,33,60406,99,50406,3,45732,39158,145479,0,1000,0,0,50,80,100,100,120,100,34,0,0,100,0,5
639,33,60407,99,50407,3,46784,33905,166449,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
640,33,60408,99,50408,3,56112,27740,150652,0,1000,0,0,50,100,120,100,80,100,34,0,0,100,0,5
641,33,60409,99,50409,3,45753,37383,154269,0,1000,0,0,50,100,80,100,100,120,34,0,0,100,0,5
642,33,60410,99,50410,3,46784,25950,206240,0,1000,0,0,50,80,100,100,120,100,34,0,0,100,0,5
643,33,60411,99,50411,3,48486,37068,140429,0,1000,0,0,50,120,100,80,100,100,34,0,0,100,0,5
644,34,60301,102,50301,3,33334,14967,66602,0,1000,0,0,50,100,100,120,100,80,35,0,0,100,0,5
645,34,60302,102,50302,3,32618,12826,80870,0,1000,0,0,50,100,80,100,100,120,35,0,0,100,0,5
646,34,60303,102,50303,3,22285,20691,91400,0,1000,0,0,50,100,100,120,100,80,35,0,0,100,0,5
647,34,60304,102,50304,3,25082,13900,113198,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
648,34,60305,102,50305,3,22632,24781,70990,0,1000,0,0,50,120,100,80,100,100,35,0,0,100,0,5
649,34,60306,102,50306,3,26006,20340,78115,0,1000,0,0,50,80,100,100,120,100,35,0,0,100,0,5
650,34,60307,102,50307,3,24788,22482,71674,0,1000,0,0,50,120,100,80,100,100,35,0,0,100,0,5
651,34,60308,102,50308,3,33528,15479,63075,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
652,34,60309,102,50309,3,21913,26518,67620,0,1000,0,0,50,100,100,120,100,80,35,0,0,100,0,5
653,34,60310,102,50310,3,26581,16915,92436,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
654,34,60401,102,50401,3,48291,40758,142997,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
655,34,60402,102,50402,3,50425,32892,171621,0,1000,0,0,50,120,100,80,100,100,35,0,0,100,0,5
656,34,60403,102,50403,3,60091,31787,128624,0,1000,0,0,50,100,80,100,100,120,35,0,0,100,0,5
657,34,60404,102,50404,3,55795,33264,142927,0,1000,0,0,50,100,100,120,100,80,35,0,0,100,0,5
658,34,60405,102,50405,3,47206,34303,182327,0,1000,0,0,50,120,100,80,100,100,35,0,0,100,0,5
659,34,60406,102,50406,3,47224,40421,149895,0,1000,0,0,50,80,100,100,120,100,35,0,0,100,0,5
660,34,60407,102,50407,3,48280,35019,171586,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
661,34,60408,102,50408,3,57933,28575,155563,0,1000,0,0,50,100,120,100,80,100,35,0,0,100,0,5
662,34,60409,102,50409,3,47181,38617,159143,0,1000,0,0,50,100,80,100,100,120,35,0,0,100,0,5
663,34,60410,102,50410,3,48280,26788,212759,0,1000,0,0,50,80,100,100,120,100,35,0,0,100,0,5
664,34,60411,102,50411,3,50074,38259,144665,0,1000,0,0,50,120,100,80,100,100,35,0,0,100,0,5
665,35,60301,105,50301,3,34386,15443,68632,0,70000,4004,0,50,100,100,120,100,80,36,0,0,100,0,5
666,35,60302,105,50302,3,33646,13229,83384,0,70000,4004,0,50,100,80,100,100,120,36,0,0,100,0,5
667,35,60303,105,50303,3,22994,21362,94118,0,70000,4004,0,50,100,100,120,100,80,36,0,0,100,0,5
668,35,60304,105,50304,3,25856,14340,116801,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
669,35,60305,105,50305,3,23353,25574,73091,0,70000,4004,0,50,120,100,80,100,100,36,0,0,100,0,5
670,35,60306,105,50306,3,26825,20998,80458,0,70000,4004,0,50,80,100,100,120,100,36,0,0,100,0,5
671,35,60307,105,50307,3,25581,23212,73725,0,70000,4004,0,50,120,100,80,100,100,36,0,0,100,0,5
672,35,60308,105,50308,3,34601,15958,64983,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
673,35,60309,105,50309,3,22609,27340,69760,0,70000,4004,0,50,100,100,120,100,80,36,0,0,100,0,5
674,35,60310,105,50310,3,27435,17442,95263,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
675,35,60401,105,50401,3,49798,42074,147204,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
676,35,60402,105,50402,3,52004,33911,176955,0,70000,4004,0,50,120,100,80,100,100,36,0,0,100,0,5
677,35,60403,105,50403,3,61966,32768,132663,0,70000,4004,0,50,100,80,100,100,120,36,0,0,100,0,5
678,35,60404,105,50404,3,57556,34326,147134,0,70000,4004,0,50,100,100,120,100,80,36,0,0,100,0,5
679,35,60405,105,50405,3,48677,35402,187865,0,70000,4004,0,50,120,100,80,100,100,36,0,0,100,0,5
680,35,60406,105,50406,3,48726,41694,154342,0,70000,4004,0,50,80,100,100,120,100,36,0,0,100,0,5
681,35,60407,105,50407,3,49787,36142,176761,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
682,35,60408,105,50408,3,59766,29416,160511,0,70000,4004,0,50,100,120,100,80,100,36,0,0,100,0,5
683,35,60409,105,50409,3,48620,39861,164054,0,70000,4004,0,50,100,80,100,100,120,36,0,0,100,0,5
684,35,60410,105,50410,3,49787,27632,219326,0,70000,4004,0,50,80,100,100,120,100,36,0,0,100,0,5
685,35,60411,105,50411,3,51673,39459,148931,0,70000,4004,0,50,120,100,80,100,100,36,0,0,100,0,5
686,36,60301,108,50301,3,35446,15923,70676,0,1000,0,0,50,100,100,120,100,80,37,0,0,100,0,5
687,36,60302,108,50302,3,34681,13636,85916,0,1000,0,0,50,100,80,100,100,120,37,0,0,100,0,5
688,36,60303,108,50303,3,23707,22037,96854,0,1000,0,0,50,100,100,120,100,80,37,0,0,100,0,5
689,36,60304,108,50304,3,26635,14783,120431,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
690,36,60305,108,50305,3,24079,26373,75207,0,1000,0,0,50,120,100,80,100,100,37,0,0,100,0,5
691,36,60306,108,50306,3,27651,21661,82818,0,1000,0,0,50,80,100,100,120,100,37,0,0,100,0,5
692,36,60307,108,50307,3,26380,23948,75791,0,1000,0,0,50,120,100,80,100,100,37,0,0,100,0,5
693,36,60308,108,50308,3,35683,16440,66906,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
694,36,60309,108,50309,3,23311,28168,71915,0,1000,0,0,50,100,100,120,100,80,37,0,0,100,0,5
695,36,60310,108,50310,3,28295,17973,98111,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
696,36,60401,108,50401,3,51316,43400,151441,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
697,36,60402,108,50402,3,53596,34936,182328,0,1000,0,0,50,120,100,80,100,100,37,0,0,100,0,5
698,36,60403,108,50403,3,63855,33757,136733,0,1000,0,0,50,100,80,100,100,120,37,0,0,100,0,5
699,36,60404,108,50404,3,59330,35396,151370,0,1000,0,0,50,100,100,120,100,80,37,0,0,100,0,5
700,36,60405,108,50405,3,50158,36508,193443,0,1000,0,0,50,120,100,80,100,100,37,0,0,100,0,5
701,36,60406,108,50406,3,50240,42976,158822,0,1000,0,0,50,80,100,100,120,100,37,0,0,100,0,5
702,36,60407,108,50407,3,51305,37273,181974,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
703,36,60408,108,50408,3,61614,30263,165495,0,1000,0,0,50,100,120,100,80,100,37,0,0,100,0,5
704,36,60409,108,50409,3,50070,41114,169000,0,1000,0,0,50,100,80,100,100,120,37,0,0,100,0,5
705,36,60410,108,50410,3,51305,28483,225941,0,1000,0,0,50,80,100,100,120,100,37,0,0,100,0,5
706,36,60411,108,50411,3,53284,40668,153229,0,1000,0,0,50,120,100,80,100,100,37,0,0,100,0,5
707,37,60301,111,50301,3,36513,16406,72735,0,1000,0,0,50,100,100,120,100,80,38,0,0,100,0,5
708,37,60302,111,50302,3,35724,14046,88466,0,1000,0,0,50,100,80,100,100,120,38,0,0,100,0,5
709,37,60303,111,50303,3,24426,22716,99611,0,1000,0,0,50,100,100,120,100,80,38,0,0,100,0,5
710,37,60304,111,50304,3,27420,15230,124087,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
711,37,60305,111,50305,3,24810,27178,77339,0,1000,0,0,50,120,100,80,100,100,38,0,0,100,0,5
712,37,60306,111,50306,3,28483,22329,85196,0,1000,0,0,50,80,100,100,120,100,38,0,0,100,0,5
713,37,60307,111,50307,3,27185,24689,77872,0,1000,0,0,50,120,100,80,100,100,38,0,0,100,0,5
714,37,60308,111,50308,3,36773,16925,68843,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
715,37,60309,111,50309,3,24018,29002,74086,0,1000,0,0,50,100,100,120,100,80,38,0,0,100,0,5
716,37,60310,111,50310,3,29162,18507,100980,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
717,37,60401,111,50401,3,52845,44736,155709,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
718,37,60402,111,50402,3,55198,35969,187740,0,1000,0,0,50,120,100,80,100,100,38,0,0,100,0,5
719,37,60403,111,50403,3,65757,34754,140831,0,1000,0,0,50,100,80,100,100,120,38,0,0,100,0,5
720,37,60404,111,50404,3,61118,36474,155638,0,1000,0,0,50,100,100,120,100,80,38,0,0,100,0,5
721,37,60405,111,50405,3,51651,37623,199062,0,1000,0,0,50,120,100,80,100,100,38,0,0,100,0,5
722,37,60406,111,50406,3,51764,44267,163334,0,1000,0,0,50,80,100,100,120,100,38,0,0,100,0,5
723,37,60407,111,50407,3,52834,38412,187224,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
724,37,60408,111,50408,3,63475,31117,170516,0,1000,0,0,50,100,120,100,80,100,38,0,0,100,0,5
725,37,60409,111,50409,3,51530,42376,173982,0,1000,0,0,50,100,80,100,100,120,38,0,0,100,0,5
726,37,60410,111,50410,3,52834,29339,232604,0,1000,0,0,50,80,100,100,120,100,38,0,0,100,0,5
727,37,60411,111,50411,3,54907,41885,157558,0,1000,0,0,50,120,100,80,100,100,38,0,0,100,0,5
728,38,60301,114,50301,3,37589,16893,74809,0,1000,0,0,50,100,100,120,100,80,39,0,0,100,0,5
729,38,60302,114,50302,3,36775,14459,91035,0,1000,0,0,50,100,80,100,100,120,39,0,0,100,0,5
730,38,60303,114,50303,3,25151,23401,102388,0,1000,0,0,50,100,100,120,100,80,39,0,0,100,0,5
731,38,60304,114,50304,3,28210,15679,127770,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
732,38,60305,114,50305,3,25547,27989,79486,0,1000,0,0,50,120,100,80,100,100,39,0,0,100,0,5
733,38,60306,114,50306,3,29320,23002,87590,0,1000,0,0,50,80,100,100,120,100,39,0,0,100,0,5
734,38,60307,114,50307,3,27996,25436,79968,0,1000,0,0,50,120,100,80,100,100,39,0,0,100,0,5
735,38,60308,114,50308,3,37871,17414,70793,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
736,38,60309,114,50309,3,24729,29842,76273,0,1000,0,0,50,100,100,120,100,80,39,0,0,100,0,5
737,38,60310,114,50310,3,30034,19046,103869,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
738,38,60401,114,50401,3,54385,46082,160007,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
739,38,60402,114,50402,3,56813,37010,193191,0,1000,0,0,50,120,100,80,100,100,39,0,0,100,0,5
740,38,60403,114,50403,3,67673,35757,144960,0,1000,0,0,50,100,80,100,100,120,39,0,0,100,0,5
741,38,60404,114,50404,3,62918,37560,159936,0,1000,0,0,50,100,100,120,100,80,39,0,0,100,0,5
742,38,60405,114,50405,3,53154,38745,204722,0,1000,0,0,50,120,100,80,100,100,39,0,0,100,0,5
743,38,60406,114,50406,3,53300,45567,167879,0,1000,0,0,50,80,100,100,120,100,39,0,0,100,0,5
744,38,60407,114,50407,3,54375,39559,192512,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
745,38,60408,114,50408,3,65349,31976,175573,0,1000,0,0,50,100,120,100,80,100,39,0,0,100,0,5
746,38,60409,114,50409,3,53000,43647,179000,0,1000,0,0,50,100,80,100,100,120,39,0,0,100,0,5
747,38,60410,114,50410,3,54375,30202,239315,0,1000,0,0,50,80,100,100,120,100,39,0,0,100,0,5
748,38,60411,114,50411,3,56542,43111,161917,0,1000,0,0,50,120,100,80,100,100,39,0,0,100,0,5
749,39,60301,117,50301,3,38671,17384,76898,0,1000,0,0,50,100,100,120,100,80,40,0,0,100,0,5
750,39,60302,117,50302,3,37833,14874,93622,0,1000,0,0,50,100,80,100,100,120,40,0,0,100,0,5
751,39,60303,117,50303,3,25880,24091,105184,0,1000,0,0,50,100,100,120,100,80,40,0,0,100,0,5
752,39,60304,117,50304,3,29006,16133,131480,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
753,39,60305,117,50305,3,26289,28805,81648,0,1000,0,0,50,120,100,80,100,100,40,0,0,100,0,5
754,39,60306,117,50306,3,30164,23679,90001,0,1000,0,0,50,80,100,100,120,100,40,0,0,100,0,5
755,39,60307,117,50307,3,28813,26188,82079,0,1000,0,0,50,120,100,80,100,100,40,0,0,100,0,5
756,39,60308,117,50308,3,38976,17907,72758,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
757,39,60309,117,50309,3,25446,30688,78476,0,1000,0,0,50,100,100,120,100,80,40,0,0,100,0,5
758,39,60310,117,50310,3,30913,19588,106779,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
759,39,60401,117,50401,3,55937,47437,164336,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
760,39,60402,117,50402,3,58439,38058,198681,0,1000,0,0,50,120,100,80,100,100,40,0,0,100,0,5
761,39,60403,117,50403,3,69603,36768,149118,0,1000,0,0,50,100,80,100,100,120,40,0,0,100,0,5
762,39,60404,117,50404,3,64731,38653,164265,0,1000,0,0,50,100,100,120,100,80,40,0,0,100,0,5
763,39,60405,117,50405,3,54668,39876,210422,0,1000,0,0,50,120,100,80,100,100,40,0,0,100,0,5
764,39,60406,117,50406,3,54847,46877,172456,0,1000,0,0,50,80,100,100,120,100,40,0,0,100,0,5
765,39,60407,117,50407,3,55926,40715,197838,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
766,39,60408,117,50408,3,67237,32842,180666,0,1000,0,0,50,100,120,100,80,100,40,0,0,100,0,5
767,39,60409,117,50409,3,54481,44927,184054,0,1000,0,0,50,100,80,100,100,120,40,0,0,100,0,5
768,39,60410,117,50410,3,55926,31071,246074,0,1000,0,0,50,80,100,100,120,100,40,0,0,100,0,5
769,39,60411,117,50411,3,58188,44346,166308,0,1000,0,0,50,120,100,80,100,100,40,0,0,100,0,5
770,40,60301,120,50301,3,39762,17878,79002,0,80000,4004,0,50,100,100,120,100,80,41,0,0,100,0,5
771,40,60302,120,50302,3,38898,15293,96228,0,80000,4004,0,50,100,80,100,100,120,41,0,0,100,0,5
772,40,60303,120,50303,3,26615,24786,108000,0,80000,4004,0,50,100,100,120,100,80,41,0,0,100,0,5
773,40,60304,120,50304,3,29808,16589,135216,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
774,40,60305,120,50305,3,27036,29628,83826,0,80000,4004,0,50,120,100,80,100,100,41,0,0,100,0,5
775,40,60306,120,50306,3,31014,24361,92430,0,80000,4004,0,50,80,100,100,120,100,41,0,0,100,0,5
776,40,60307,120,50307,3,29635,26946,84204,0,80000,4004,0,50,120,100,80,100,100,41,0,0,100,0,5
777,40,60308,120,50308,3,40090,18403,74736,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
778,40,60309,120,50309,3,26168,31540,80694,0,80000,4004,0,50,100,100,120,100,80,41,0,0,100,0,5
779,40,60310,120,50310,3,31799,20135,109710,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
780,40,60401,120,50401,3,57499,48802,168696,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
781,40,60402,120,50402,3,60077,39114,204210,0,80000,4004,0,50,120,100,80,100,100,41,0,0,100,0,5
782,40,60403,120,50403,3,71546,37786,153306,0,80000,4004,0,50,100,80,100,100,120,41,0,0,100,0,5
783,40,60404,120,50404,3,66557,39755,168624,0,80000,4004,0,50,100,100,120,100,80,41,0,0,100,0,5
784,40,60405,120,50405,3,56192,41015,216162,0,80000,4004,0,50,120,100,80,100,100,41,0,0,100,0,5
785,40,60406,120,50406,3,56405,48197,177066,0,80000,4004,0,50,80,100,100,120,100,41,0,0,100,0,5
786,40,60407,120,50407,3,57488,41879,203202,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
787,40,60408,120,50408,3,69138,33714,185796,0,80000,4004,0,50,100,120,100,80,100,41,0,0,100,0,5
788,40,60409,120,50409,3,55973,46217,189144,0,80000,4004,0,50,100,80,100,100,120,41,0,0,100,0,5
789,40,60410,120,50410,3,57488,31946,252882,0,80000,4004,0,50,80,100,100,120,100,41,0,0,100,0,5
790,40,60411,120,50411,3,59846,45590,170730,0,80000,4004,0,50,120,100,80,100,100,41,0,0,100,0,5
791,41,60001,123,50001,3,7588,7588,72878,0,1000,0,0,50,100,100,120,100,80,42,0,0,100,0,5
792,41,60002,123,50002,3,14565,7588,37939,0,1000,0,0,50,100,80,100,100,120,42,0,0,100,0,5
793,41,60003,123,50004,3,11384,9869,40271,0,1000,0,0,50,80,100,100,120,100,42,0,0,100,0,5
794,41,60004,123,50010,3,9869,8054,56918,0,1000,0,0,50,100,120,100,80,100,42,0,0,100,0,5
795,41,60005,123,50003,3,10581,8029,51261,0,1000,0,0,50,100,120,100,80,100,42,0,0,100,0,5
796,41,60006,123,50005,3,8054,11384,49345,0,1000,0,0,50,120,100,80,100,100,42,0,0,100,0,5
797,41,60101,123,50101,3,21169,15834,55147,0,1000,0,0,50,120,100,80,100,100,42,0,0,100,0,5
798,41,60102,123,50102,3,17157,21213,48260,0,1000,0,0,50,80,100,100,120,100,42,0,0,100,0,5
799,41,60103,123,0,3,18903,19033,50483,0,1000,0,0,50,100,120,100,80,100,42,0,0,100,0,5
800,41,60104,123,50103,3,24777,11817,54966,0,1000,0,0,50,100,100,120,100,80,42,0,0,100,0,5
801,41,60105,123,0,3,19000,13119,77289,0,1000,0,0,50,100,120,100,80,100,42,0,0,100,0,5
802,41,60106,123,50105,3,21177,12316,70474,0,1000,0,0,50,100,80,100,100,120,42,0,0,100,0,5
803,41,60107,123,50111,3,23870,10574,65703,0,1000,0,0,50,120,100,80,100,100,42,0,0,100,0,5
804,41,60108,123,50105,3,14424,19413,97063,0,1000,0,0,50,100,100,120,100,80,42,0,0,100,0,5
805,42,60001,126,50001,3,7783,7783,74814,0,1000,0,0,50,100,100,120,100,80,43,0,0,100,0,5
806,42,60002,126,50002,3,14952,7783,38914,0,1000,0,0,50,100,80,100,100,120,43,0,0,100,0,5
807,42,60003,126,50004,3,11681,10128,41309,0,1000,0,0,50,80,100,100,120,100,43,0,0,100,0,5
808,42,60004,126,50010,3,10128,8262,58407,0,1000,0,0,50,100,120,100,80,100,43,0,0,100,0,5
809,42,60005,126,50003,3,10854,8236,52617,0,1000,0,0,50,100,120,100,80,100,43,0,0,100,0,5
810,42,60006,126,50005,3,8262,11681,50639,0,1000,0,0,50,120,100,80,100,100,43,0,0,100,0,5
811,42,60101,126,50101,3,21736,16248,56628,0,1000,0,0,50,120,100,80,100,100,43,0,0,100,0,5
812,42,60102,126,50102,3,17609,21791,49495,0,1000,0,0,50,80,100,100,120,100,43,0,0,100,0,5
813,42,60103,126,0,3,19395,19558,51782,0,1000,0,0,50,100,120,100,80,100,43,0,0,100,0,5
814,42,60104,126,50103,3,25457,12117,56392,0,1000,0,0,50,100,100,120,100,80,43,0,0,100,0,5
815,42,60105,126,0,3,19515,13446,79406,0,1000,0,0,50,100,120,100,80,100,43,0,0,100,0,5
816,42,60106,126,50105,3,21744,12640,72346,0,1000,0,0,50,100,80,100,100,120,43,0,0,100,0,5
817,42,60107,126,50111,3,24524,10857,67337,0,1000,0,0,50,120,100,80,100,100,43,0,0,100,0,5
818,42,60108,126,50105,3,14810,19929,99644,0,1000,0,0,50,100,100,120,100,80,43,0,0,100,0,5
819,43,60001,129,50001,3,7979,7979,76764,0,1000,0,0,50,100,100,120,100,80,44,0,0,100,0,5
820,43,60002,129,50002,3,15342,7979,39895,0,1000,0,0,50,100,80,100,100,120,44,0,0,100,0,5
821,43,60003,129,50004,3,11981,10388,42355,0,1000,0,0,50,80,100,100,120,100,44,0,0,100,0,5
822,43,60004,129,50010,3,10388,8471,59906,0,1000,0,0,50,100,120,100,80,100,44,0,0,100,0,5
823,43,60005,129,50003,3,11128,8445,53982,0,1000,0,0,50,100,120,100,80,100,44,0,0,100,0,5
824,43,60006,129,50005,3,8471,11981,51941,0,1000,0,0,50,120,100,80,100,100,44,0,0,100,0,5
825,43,60101,129,50101,3,22307,16665,58120,0,1000,0,0,50,120,100,80,100,100,44,0,0,100,0,5
826,43,60102,129,50102,3,18065,22373,50738,0,1000,0,0,50,80,100,100,120,100,44,0,0,100,0,5
827,43,60103,129,0,3,19891,20088,53089,0,1000,0,0,50,100,120,100,80,100,44,0,0,100,0,5
828,43,60104,129,50103,3,26142,12419,57828,0,1000,0,0,50,100,100,120,100,80,44,0,0,100,0,5
829,43,60105,129,0,3,20033,13774,81539,0,1000,0,0,50,100,120,100,80,100,44,0,0,100,0,5
830,43,60106,129,50105,3,22315,12965,74230,0,1000,0,0,50,100,80,100,100,120,44,0,0,100,0,5
831,43,60107,129,50111,3,25183,11143,68982,0,1000,0,0,50,120,100,80,100,100,44,0,0,100,0,5
832,43,60108,129,50105,3,15200,20448,102242,0,1000,0,0,50,100,100,120,100,80,44,0,0,100,0,5
833,44,60001,132,50001,3,8176,8176,78727,0,1000,0,0,50,100,100,120,100,80,45,0,0,100,0,5
834,44,60002,132,50002,3,15734,8176,40882,0,1000,0,0,50,100,80,100,100,120,45,0,0,100,0,5
835,44,60003,132,50004,3,12283,10651,43408,0,1000,0,0,50,80,100,100,120,100,45,0,0,100,0,5
836,44,60004,132,50010,3,10651,8682,61415,0,1000,0,0,50,100,120,100,80,100,45,0,0,100,0,5
837,44,60005,132,50003,3,11405,8656,55358,0,1000,0,0,50,100,120,100,80,100,45,0,0,100,0,5
838,44,60006,132,50005,3,8682,12283,53253,0,1000,0,0,50,120,100,80,100,100,45,0,0,100,0,5
839,44,60101,132,50101,3,22882,17085,59621,0,1000,0,0,50,120,100,80,100,100,45,0,0,100,0,5
840,44,60102,132,50102,3,18523,22959,51990,0,1000,0,0,50,80,100,100,120,100,45,0,0,100,0,5
841,44,60103,132,0,3,20390,20620,54406,0,1000,0,0,50,100,120,100,80,100,45,0,0,100,0,5
842,44,60104,132,50103,3,26831,12722,59274,0,1000,0,0,50,100,100,120,100,80,45,0,0,100,0,5
843,44,60105,132,0,3,20555,14106,83686,0,1000,0,0,50,100,120,100,80,100,45,0,0,100,0,5
844,44,60106,132,50105,3,22890,13293,76128,0,1000,0,0,50,100,80,100,100,120,45,0,0,100,0,5
845,44,60107,132,50111,3,25847,11430,70638,0,1000,0,0,50,120,100,80,100,100,45,0,0,100,0,5
846,44,60108,132,50105,3,15592,20972,104859,0,1000,0,0,50,100,100,120,100,80,45,0,0,100,0,5
847,45,60001,135,50001,3,8375,8375,80703,0,90000,4004,0,50,100,100,120,100,80,46,0,0,100,0,5
848,45,60002,135,50002,3,16130,8375,41877,0,90000,4004,0,50,100,80,100,100,120,46,0,0,100,0,5
849,45,60003,135,50004,3,12587,10915,44468,0,90000,4004,0,50,80,100,100,120,100,46,0,0,100,0,5
850,45,60004,135,50010,3,10915,8894,62934,0,90000,4004,0,50,100,120,100,80,100,46,0,0,100,0,5
851,45,60005,135,50003,3,11683,8868,56742,0,90000,4004,0,50,100,120,100,80,100,46,0,0,100,0,5
852,45,60006,135,50005,3,8894,12587,54574,0,90000,4004,0,50,120,100,80,100,100,46,0,0,100,0,5
853,45,60101,135,50101,3,23461,17508,61134,0,90000,4004,0,50,120,100,80,100,100,46,0,0,100,0,5
854,45,60102,135,50102,3,18985,23549,53251,0,90000,4004,0,50,80,100,100,120,100,46,0,0,100,0,5
855,45,60103,135,0,3,20892,21157,55731,0,90000,4004,0,50,100,120,100,80,100,46,0,0,100,0,5
856,45,60104,135,50103,3,27526,13028,60729,0,90000,4004,0,50,100,100,120,100,80,46,0,0,100,0,5
857,45,60105,135,0,3,21080,14439,85848,0,90000,4004,0,50,100,120,100,80,100,46,0,0,100,0,5
